label,score,system_verdict,title_a,title_b,starts_a,starts_b,venue_a,venue_b,source_a,source_b,fingerprint_a,fingerprint_b,note
s,0.663,adjudicate:same,Sehnsucht (FilmKlassiker),Viscontis Senso — Filmklassiker,2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Movie 1,Moviemento Linz,Moviemento,Brucknerhaus,sehnsucht filmklassiker|2026-09-20|9661:1901,viscontis senso filmklassiker|2026-09-20|9662:1901,Viscontis Senso (1954) German release title = Sehnsucht; same 16:00 at Moviemento; Brucknerhaus claim confirms Brucknerfest Senso screening
s,0.657,adjudicate:uncached,Romeo &amp;amp; Julia im Turm 20,Sommertheater am Pöstlingberg: Romeo und Julia,2026-07-03T19:30:00+02:00,2026-07-03T19:30:00+02:00,Turm 20 Theater- und Kulturverein,Turm 20,Kupfticket,linztermine.at (open data XML),romeo amp amp julia turm|2026-07-03|,sommertheater poestlingberg romeo julia|2026-07-03|,Turm 20 is the Poestlingberg Sommertheater venue; same 19:30 same venue
s,0.651,adjudicate:uncached,Tanzoptikum 2026 – Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-06T10:00:00+02:00,2026-07-06T10:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-06|9660:1900,tanzoptikum|2026-07-06|,Coppelia.Exe is the Tanzoptikum 2026 production title; same time+venue
s,0.651,adjudicate:uncached,Tanzoptikum 2026 – Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-04T15:00:00+02:00,2026-07-04T15:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-04|9660:1900,tanzoptikum|2026-07-04|,Coppelia.Exe is the Tanzoptikum 2026 production title; same time+venue
s,0.651,adjudicate:uncached,Tanzoptikum 2026 – Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-08T10:00:00+02:00,2026-07-08T10:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-08|9660:1900,tanzoptikum|2026-07-08|,Coppelia.Exe is the Tanzoptikum 2026 production title; same time+venue
d,0.605,adjudicate:uncached,communale oö 2026: Bauern­krieg 1626 – Zwischen Geschichte und Fiktion,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,2026-07-09T10:00:00+02:00,2026-07-09T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,communale ooe bauernkrieg zwischen geschichte fiktion|2026-07-09|,erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,"exhibition (communale Bauernkrieg, 10:00 opening) vs its Erinnerungscafe program event (14:00) = distinct happenings"
s,0.593,adjudicate:same,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Erinnerungscafé: Bauernkrieg 2026,2026-07-09T00:00:00+02:00,2026-07-09T14:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,erinnerungscafe bauernkrieg|2026-07-09|,both are the Erinnerungscafe at Schlossmuseum 07-09 (14:00; a is date-only); note year typo 2026 vs 1626 in one source
d,0.545,distinct,Don Pasquale,Produktionspreis des 39. Internationalen Wettbewerbs für Choreografie Hannover 2025,2026-07-03T19:30:00+02:00,2026-07-03T20:00:00+02:00,Großer Saal Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),don pasquale|2026-07-03|9660:1900,produktionspreis internationalen wettbewerbs choreografie hannover|2026-07-03|,
d,0.54,distinct,Don Pasquale,Das Spiel ist aus,2026-07-03T19:30:00+02:00,2026-07-03T20:00:00+02:00,Großer Saal Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),don pasquale|2026-07-03|9660:1900,spiel ist aus|2026-07-03|,
s,0.54,distinct,Produktionspreis des 39. Internationalen Wettbewerbs für Choreografie Hannover 2025,Das Spiel ist aus,2026-07-03T20:00:00+02:00,2026-07-03T20:00:00+02:00,BlackBox,BlackBox Musiktheater,linztermine.at (open data XML),Landestheater Linz,produktionspreis internationalen wettbewerbs choreografie hannover|2026-07-03|,spiel ist aus|2026-07-03|9660:1900,DB: linztermine 'Das Spiel ist aus' description says it IS the Hannover Produktionspreis winner production (BlackBox 20:00); placeholder title vs final title of same premiere
d,0.54,distinct,Das Spiel ist aus,Turandot,2026-07-06T20:00:00+02:00,2026-07-06T19:30:00+02:00,Musiktheater,Großer Saal Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-06|,turandot|2026-07-06|9660:1900,
d,0.501,distinct,Tanzoptikum 2026 – Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-05T17:00:00+02:00,2026-07-05T15:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-05|9660:1900,tanzoptikum|2026-07-05|,DB: both sources list TWO showings (15:00 and 17:00) on 07-05; this pair crosses showings; date-only fingerprint collapses same-day showings
d,0.495,distinct,OK Platz Sommerfest,Sommer,2026-07-03T00:00:00+02:00,2026-07-03T08:00:00+02:00,OK Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,OÖ Kulturquartier,linztermine.at (open data XML),ok platz sommerfest|2026-07-03|9661:1900,sommer|2026-07-03|,
d,0.487,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Führung: Bauernkrieg 1626,2026-07-09T00:00:00+02:00,2026-07-09T16:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,fuehrung bauernkrieg|2026-07-09|,"Fuehrung (guided tour, 16:00) vs Erinnerungscafe (14:00) = distinct program events"
s,0.476,distinct,KEPLER SALON EXTRA: I SAG GAR NIX – Berühmte Szenen von Karl Valentin und Liesl Karlstadt (ausverkauft),Kepler Salon Extra: Die Orchesterprobe und andere Katastrophen,2026-07-09T00:00:00+02:00,2026-07-09T20:00:00+02:00,Kepler Salon,Kepler Salon,JKU Events,linztermine.at (open data XML),kepler salon extra i sag gar nix beruehmte szenen karl valentin liesl karlstadt ausverkauft|2026-07-09|9667:1905,kepler salon extra orchesterprobe andere katastrophen|2026-07-09|,"web (Radio FRO/Landestheater): 'I sag gar nix' Valentin/Karlstadt evening at Kepler Salon Jul 9+10, tickets via Landestheater = same show as 'Orchesterprobe' listing (retitled)"
s,0.476,distinct,KEPLER SALON EXTRA: I SAG GAR NIX – Berühmte Szenen von Karl Valentin und Liesl Karlstadt (ausverkauft),Kepler Salon Extra: Die Orchesterprobe und andere Katastrophen,2026-07-10T00:00:00+02:00,2026-07-10T20:00:00+02:00,Kepler Salon,Kepler Salon,JKU Events,linztermine.at (open data XML),kepler salon extra i sag gar nix beruehmte szenen karl valentin liesl karlstadt ausverkauft|2026-07-10|9667:1905,kepler salon extra orchesterprobe andere katastrophen|2026-07-10|,"same as row above, second evening Jul 10"
d,0.452,distinct,OK Platz Sommerfest,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-03T00:00:00+02:00,2026-07-03T00:00:00+02:00,OK Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,OÖ Kulturquartier,linztermine.at (open data XML),ok platz sommerfest|2026-07-03|9661:1900,sommerbespielung schaufenster kreisgefluester|2026-07-03|,
d,0.452,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Führung: Bauernkrieg 1626,2026-07-04T00:00:00+02:00,2026-07-04T14:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,fuehrung bauernkrieg|2026-07-04|,
d,0.451,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Schlossmuseum Dauerausstellungen,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,schlossmuseum dauerausstellungen|2026-07-04|,
d,0.447,distinct,BAUERN | SCHACH | NOVELLEN (Theater),communale oö 2026: Bauern­krieg 1626 – Zwischen Geschichte und Fiktion,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,communale ooe bauernkrieg zwischen geschichte fiktion|2026-07-04|,
d,0.443,distinct,Business Starter Info,Food Safari in Linz – Linzer Innenstadt,2026-07-04T00:00:00+02:00,2026-07-04T13:30:00+02:00,Courtyard Linz,Linz Innenstadt,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,food safari linz linzer innenstadt|2026-07-04|,Eventbrite 'Business Starter Info' claim has 00:00 date-only start and pairs against ~20 unrelated events; date-only claims flood the candidate blocking
d,0.441,distinct,Grafische Schätze aus der Sammlung Kastner,Schlossmuseum Dauerausstellungen,2026-07-10T00:00:00+02:00,2026-07-10T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,schlossmuseum dauerausstellungen|2026-07-10|,
d,0.437,distinct,Grafische Schätze aus der Sammlung Kastner,Sepp Auer: Linie · Fläche · Raum,2026-07-10T00:00:00+02:00,2026-07-10T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,sepp auer linie flaeche raum|2026-07-10|,
d,0.436,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Schlossmuseum Dauerausstellungen,2026-07-09T00:00:00+02:00,2026-07-09T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,schlossmuseum dauerausstellungen|2026-07-09|,
d,0.435,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Grafische Schätze aus der Sammlung Kastner,2026-07-09T00:00:00+02:00,2026-07-09T19:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,grafische schaetze aus sammlung kastner|2026-07-09|,
d,0.433,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Sepp Auer: Linie · Fläche · Raum,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,sepp auer linie flaeche raum|2026-07-04|,
d,0.432,distinct,Business Starter Info,Peter Fellner: Glumpert,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Courtyard Linz,OK Linz,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,peter fellner glumpert|2026-07-04|,
d,0.432,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Die Oberösterreicherin. Dirndl.Kleid,2026-07-09T00:00:00+02:00,2026-07-09T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,oberoesterreicherin dirndl kleid|2026-07-09|,
d,0.429,distinct,Fotoausstellung Beifang,Traces of life – Young@Art Art Award 2026,2026-07-04T09:00:00+02:00,2026-07-04T00:00:00+02:00,Fotogalerie OÖ im OÖ Kulturquartier,Ursulinenhof Linz,linztermine.at (open data XML),OÖ Kulturquartier,fotoausstellung beifang|2026-07-04|,traces life young art art award|2026-07-04|9661:1900,
d,0.428,distinct,OPEN SUNDAY voestalpine OPEN SPACE,Die Zwerge freuen sich auf den Besuch,2026-07-05T00:00:00+02:00,2026-07-05T10:00:00+02:00,OK Linz,Linz Linien Grottenbahn,OÖ Kulturquartier,linztermine.at (open data XML),open sunday voestalpine open space|2026-07-05|9661:1900,zwerge freuen sich besuch|2026-07-05|,
d,0.428,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Sepp Auer: Linie · Fläche · Raum,2026-07-09T00:00:00+02:00,2026-07-09T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,sepp auer linie flaeche raum|2026-07-09|,
d,0.428,distinct,Gerhard Haderer,Grafische Schätze aus der Sammlung Kastner,2026-07-10T10:00:00+02:00,2026-07-10T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,gerhard haderer|2026-07-10|,grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,
d,0.427,distinct,Business Starter Info,Markt Dornach Auhof | LINZER GENUSS MÄRKTE,2026-07-04T00:00:00+02:00,2026-07-04T06:30:00+02:00,Courtyard Linz,Pfarre Linz - Hl. Geist,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,markt dornach auhof linzer genuss maerkte|2026-07-04|,
d,0.427,distinct,Business Starter Info,Sommer,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Courtyard Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,sommer|2026-07-04|,
d,0.427,distinct,Carlos Motta: Pleas of Resistance,OPEN SUNDAY voestalpine OPEN SPACE,2026-07-05T10:00:00+02:00,2026-07-05T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,carlos motta pleas resistance|2026-07-05|,open sunday voestalpine open space|2026-07-05|9661:1900,OPEN SUNDAY (free-admission day event) vs the exhibition itself = distinct listings
d,0.427,distinct,communale oö 2026: Bauern­krieg 1626 – Zwischen Geschichte und Fiktion,Grafische Schätze aus der Sammlung Kastner,2026-07-10T10:00:00+02:00,2026-07-10T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,communale ooe bauernkrieg zwischen geschichte fiktion|2026-07-10|,grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,
d,0.426,distinct,Business Starter Info,Mission: Das Indoor Team – Abenteuer für die ganze Familie,2026-07-04T00:00:00+02:00,2026-07-04T13:00:00+02:00,Courtyard Linz,Missiongames Linz,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,mission indoor team abenteuer ganze familie|2026-07-04|,
d,0.426,distinct,Business Starter Info,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-04T00:00:00+02:00,2026-07-04T00:00:00+02:00,Courtyard Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,sommerbespielung schaufenster kreisgefluester|2026-07-04|,
d,0.425,distinct,Sommerbespielung im Schaufenster: Kreisgeflüster,Traces of life – Young@Art Art Award 2026,2026-07-04T00:00:00+02:00,2026-07-04T00:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Ursulinenhof Linz,linztermine.at (open data XML),OÖ Kulturquartier,sommerbespielung schaufenster kreisgefluester|2026-07-04|,traces life young art art award|2026-07-04|9661:1900,
d,0.424,distinct,"Ballett ""Cinderella""",Business Starter Info,2026-07-04T18:00:00+02:00,2026-07-04T00:00:00+02:00,Theater Maestro Linz,Courtyard Linz,linztermine.at (open data XML),Eventbrite Linz,ballett cinderella|2026-07-04|,business starter info|2026-07-04|9660:1903,
d,0.423,distinct,Business Starter Info,Escape Room bei Masters Of Escape,2026-07-04T00:00:00+02:00,2026-07-04T17:00:00+02:00,Courtyard Linz,Escape Room Linz: Masters Of Escape,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,escape room masters escape|2026-07-04|,
d,0.423,distinct,Business Starter Info,Escape Rooms bei Masters Of Escape,2026-07-04T00:00:00+02:00,2026-07-04T20:00:00+02:00,Courtyard Linz,Escape Room Linz: Masters Of Escape,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,escape rooms masters escape|2026-07-04|,
d,0.423,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Gerhard Haderer,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,gerhard haderer|2026-07-04|,
d,0.423,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Waldreich: Der Wald und Wir!,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,waldreich wald wir|2026-07-04|,
d,0.422,distinct,Carlos Motta: Pleas of Resistance,OK Platz Sommerfest,2026-07-03T10:00:00+02:00,2026-07-03T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,carlos motta pleas resistance|2026-07-03|,ok platz sommerfest|2026-07-03|9661:1900,
d,0.422,distinct,Business Starter Info,Carlos Motta: Pleas of Resistance,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Courtyard Linz,OK Linz,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,carlos motta pleas resistance|2026-07-04|,
d,0.422,distinct,Business Starter Info,Traces of life – Young@Art Art Award 2026,2026-07-04T00:00:00+02:00,2026-07-04T00:00:00+02:00,Courtyard Linz,Ursulinenhof Linz,Eventbrite Linz,OÖ Kulturquartier,business starter info|2026-07-04|9660:1903,traces life young art art award|2026-07-04|9661:1900,
d,0.422,distinct,Peter Fellner: Glumpert,Traces of life – Young@Art Art Award 2026,2026-07-04T10:00:00+02:00,2026-07-04T00:00:00+02:00,OK Linz,Ursulinenhof Linz,linztermine.at (open data XML),OÖ Kulturquartier,peter fellner glumpert|2026-07-04|,traces life young art art award|2026-07-04|9661:1900,
d,0.422,distinct,Traces of life – Young@Art Art Award 2026,Wudang Shan (Escape Room),2026-07-04T00:00:00+02:00,2026-07-04T20:00:00+02:00,Ursulinenhof Linz,Escape Room Linz: Masters Of Escape,OÖ Kulturquartier,linztermine.at (open data XML),traces life young art art award|2026-07-04|9661:1900,wudang shan escape room|2026-07-04|,
d,0.422,distinct,BAUERN | SCHACH | NOVELLEN,Familiensonntag Archäologie,2026-07-05T17:00:00+02:00,2026-07-05T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,bauern schach novellen|2026-07-05|,familiensonntag archaeologie|2026-07-05|9661:1900,
d,0.421,distinct,Jugend- & Vereinsabend (Spg. Nettingsdorf/Traun),Stadtspazierer,2026-07-09T00:00:00+02:00,2026-07-09T10:30:00+02:00,UG des Rathauses Haid,Altes Rathaus,Schach OÖ Vereinsverzeichnis,linztermine.at (open data XML),jugend vereinsabend spg nettingsdorf traun|2026-07-09|,stadtspazierer|2026-07-09|,
d,0.421,distinct,Basic Training in Standard- und Lateintänze,OK Platz Sommerfest,2026-07-03T19:15:00+02:00,2026-07-03T00:00:00+02:00,Sportunion Tanzsportklub Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,basic training standard lateintaenze|2026-07-03|,ok platz sommerfest|2026-07-03|9661:1900,
d,0.421,distinct,Food Safari in Linz – Linzer Innenstadt,Traces of life – Young@Art Art Award 2026,2026-07-04T13:30:00+02:00,2026-07-04T00:00:00+02:00,Linz Innenstadt,Ursulinenhof Linz,linztermine.at (open data XML),OÖ Kulturquartier,food safari linz linzer innenstadt|2026-07-04|,traces life young art art award|2026-07-04|9661:1900,
d,0.421,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Die Oberösterreicherin. Dirndl.Kleid,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,oberoesterreicherin dirndl kleid|2026-07-04|,
d,0.421,distinct,Familiensonntag Archäologie,Sepp Auer: Linie · Fläche · Raum,2026-07-05T00:00:00+02:00,2026-07-05T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),familiensonntag archaeologie|2026-07-05|9661:1900,sepp auer linie flaeche raum|2026-07-05|,
